time,FL_p_test,TC_t_test
1.184040404040404,"[0.1552802365930515, -46.66446742687611, 33.24469458163042]","[-0.24968179382546035, -47.71021735913887, 31.725055847977625]"
1.193989898989899,"[0.1526678870663995, -47.48245249211037, 32.06555391479281]","[-0.2593268495550452, -48.26811336743975, 30.869537274549927]"
1.203939393939394,"[0.15418938277559294, -47.49747346691465, 32.04329243235971]","[-0.25867896541954755, -46.83837518668236, 32.99857640984185]"
1.213888888888889,"[0.1541413385014894, -47.518205098241495, 32.012540897294684]","[-0.2591157573186038, -46.90253052744824, 32.907321968793504]"
1.223838383838384,"[0.15287274710265542, -47.09668075990994, 32.629521009877955]","[-0.2537812336873151, -48.43063000948112, 30.613984091945937]"
1.233787878787879,"[0.15976952783846932, -47.49402389243025, 32.04837777821186]","[-0.2724534882020966, -48.19304046717654, 30.986496569273438]"
1.243737373737374,"[0.17517703330059106, -46.55580880338886, 33.396591587781046]","[-0.27912041500862056, -46.4409564216576, 33.55541697621069]"
1.253686868686869,"[0.1955346217178972, -46.990120973010065, 32.78256620774726]","[-0.3303275609350489, -48.57399057050242, 30.385270671346227]"
1.263636363636364,"[0.23504490592277633, -46.90644163789428, 32.901927554092666]","[-0.40380198772735953, -48.64118879416169, 30.276691474749526]"
1.273585858585859,"[0.27555400554064563, -47.21868889997974, 32.45190038454921]","[-0.4847221890290714, -46.66799921331666, 33.236564862167725]"
1.283535353535354,"[0.30098940844443806, -46.40356363737275, 33.60691948304762]","[-0.4984325715623132, -44.68277592851695, 35.860946031934176]"
1.293484848484849,"[0.3221559711123777, -45.333823261578985, 35.03636730641379]","[-0.5072789405448249, -44.77077684487719, 35.75089591596876]"
1.303434343434344,"[0.35867547472893324, -45.29869619287413, 35.08141709140699]","[-0.5697228178531517, -44.036021682823105, 36.65120134828455]"
1.313383838383838,"[0.38617246448878706, -44.38079475831641, 36.23537328991671]","[-0.5988272686464924, -44.9979384185964, 35.46312583501735]"
1.323333333333333,"[0.4070727591308868, -46.26826284927419, 33.79184065260417]","[-0.7030373489303375, -43.890797971864224, 36.822682437469894]"
1.333282828282828,"[0.3866763503133363, -44.38963110703316, 36.224542531181356]","[-0.5996239658617388, -44.93727991825821, 35.53994477569451]"
1.343232323232323,"[0.3561294317593994, -46.772365745080066, 33.091166864407185]","[-0.6473448581897305, -48.3053087778213, 30.805591027046695]"
1.353181818181818,"[0.3501119412686867, -44.83278153777248, 35.67499784480291]","[-0.5457716359949242, -45.003099596362, 35.457432366896086]"
1.363131313131313,"[0.3234052071900346, -46.945219604160805, 32.84582340878096]","[-0.5825935474309896, -48.134187600341164, 31.073572675593628]"
1.373080808080808,"[0.32699820388501194, -45.76867889610455, 34.46632348092373]","[-0.5262307598583005, -44.29239031055146, 36.3416234059087]"
1.383030303030303,"[0.3095315967012349, -45.07002994316454, 35.375174079071876]","[-0.4869377408595973, -46.58175756638767, 33.35729460964357]"
1.392979797979798,"[0.29908949600487567, -45.628863587373424, 34.6514603330075]","[-0.49085402715523085, -48.27310144397379, 30.858922361540515]"
1.402929292929293,"[0.2954669117708992, -46.23427781220233, 33.83948292305732]","[-0.5039539014935732, -48.8089430204917, 30.003990762885337]"
1.412878787878788,"[0.2948024338131782, -46.712017644458676, 33.17690234365685]","[-0.5174024066561264, -48.71817603253504, 30.150919866966902]"
1.422828282828283,"[0.29610784183697475, -47.07019118482781, 32.66673800644174]","[-0.5290122424243168, -48.031410799339554, 31.233156623757974]"
1.432777777777778,"[0.2987400232481501, -47.16393764621079, 32.53121716312801]","[-0.5312930397754262, -46.796028148056116, 33.0553449124944]"
1.442727272727273,"[0.30086938100838195, -46.95331208733735, 32.83446834740007]","[-0.5213472317617666, -45.58020536346539, 34.7128135722243]"
1.452676767676768,"[0.30137434865318957, -46.65332149298132, 33.259331279901666]","[-0.5085663266307512, -44.93616749355839, 35.54277087248583]"
1.462626262626263,"[0.3012209243489937, -46.50624498302252, 33.46467979146925]","[-0.5025566272970385, -44.763954791040426, 35.759504167616655]"
1.472575757575758,"[0.3013388759152451, -46.594095309620805, 33.34225288086542]","[-0.5061300860393984, -44.85821502867537, 35.641138124208]"
1.482525252525253,"[0.3011724278865897, -46.86084086988531, 32.966304587376975]","[-0.5173141232740306, -45.32500710074047, 35.04543433070036]"
1.492474747474748,"[0.29949555018338203, -47.12932133709412, 32.58134010031033]","[-0.5294576211634291, -46.40896886973168, 33.596631275879616]"
1.502424242424243,"[0.29650102083759033, -47.108826915311994, 32.61099299039456]","[-0.5302831318672993, -47.850795330372954, 31.509150037133026]"
1.512373737373737,"[0.2947736113121258, -46.64291091236519, 33.27398864204564]","[-0.5153000894013064, -48.76799602957023, 30.07030726629559]"
1.522323232323232,"[0.2971299332780493, -45.88510058139642, 34.31145010706524]","[-0.4958025545590134, -48.584212214123795, 30.366673399824705]"
1.532272727272727,"[0.30455530903945477, -45.224101484319156, 35.17803634388199]","[-0.48584284409392076, -47.37784405023128, 32.216613724824526]"
1.542222222222222,"[0.315304143299125, -45.07426046467193, 35.36973249647042]","[-0.4929187688177875, -45.704041377570206, 34.55002145956557]"
1.552171717171717,"[0.32508810064965166, -45.55859192340187, 34.74356587478467]","[-0.51725804459328, -44.4460680953561, 36.15364193259119]"
1.562121212121212,"[0.3297111989363918, -46.331336595308834, 33.70615507335769]","[-0.5504398346264713, -44.399106595408334, 36.210809153204096]"
1.572070707070707,"[0.32907510000790674, -46.896211844261444, 32.915701029272505]","[-0.5767524989146653, -45.49125912659511, 34.82842301402286]"
1.582020202020202,"[0.32647237745876456, -47.08252129486205, 32.64867461808155]","[-0.5868632688470052, -46.811727633847354, 33.03216761658118]"
1.591969696969697,"[0.32439591793610756, -47.034896833605984, 32.71726756855181]","[-0.5858676504472105, -47.714002508754426, 31.714934553022168]"
1.601919191919192,"[0.32327810430182663, -46.928677324148566, 32.86945521125908]","[-0.5819801756654683, -48.188777758051344, 30.98885843770326]"
1.611868686868687,"[0.3227894488641173, -46.84760954740706, 32.984900131380435]","[-0.5789855796864525, -48.403638215696574, 30.652225583050527]"
1.621818181818182,"[0.3225275499464668, -46.786202698489845, 33.07194525647216]","[-0.5767465188934774, -48.52548011267666, 30.459013334297477]"
1.631767676767677,"[0.32225494720961817, -46.692368787404156, 33.20429488457464]","[-0.5733937233762659, -48.66618101374651, 30.233762504640335]"
1.641717171717172,"[0.3220477393855971, -46.49677054740492, 33.47764872160646]","[-0.5667132935859341, -48.840872400650646, 29.950865917331654]"
1.651666666666667,"[0.32267446020782065, -46.109609610913886, 34.00891254853043]","[-0.5548081817972661, -48.8943004351744, 29.863789492428115]"
1.661616161616162,"[0.3263082048620385, -45.476162332847636, 34.85137776966176]","[-0.5393133976583792, -48.41640957899808, 30.632772883785012]"
1.671565656565657,"[0.3366286009146015, -44.82300413180085, 35.68741139109636]","[-0.5315583448650272, -46.871994855398384, 32.94753244194861]"
